ID,Volcano,GVP Volcano Number,Eruption_name,Magma_type,Eruption_type,MER_kg/s,MER_note,Vent_elevation_km,Column_height_km,Column_top_altitude_km,Column_height_note,Duration_hr,Duration_note
IT_ETN_20110725,Etna,211060,Etna 2011 07 July 25,Mafic,Magmatic small to moderate,3.02E+04,PUB_INS,3.3,,,,1.4,UDS
IT_ETN_20110730,Etna,211060,Etna 2011 07 July 30,Mafic,Magmatic small to moderate,1.89E+05,PUB_INS,3.3,,,,0.8,UDS
IT_ETN_20110805,Etna,211060,Etna 2011 08 August 05,Mafic,Magmatic small to moderate,1.47E+05,PUB_INS,3.3,,,,0.9,UDS
IT_ETN_20110812,Etna,211060,Etna 2011 08 August 12,Mafic,Magmatic small to moderate,8.20E+04,PUB_INS,3.3,6,10,VIS_PVD,0.6,UDS
IT_ETN_20110820,Etna,211060,Etna 2011 08 August 20,Mafic,Magmatic small to moderate,1.22E+06,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.3,UDS
IT_ETN_20110829,Etna,211060,Etna 2011 08 August 29,Mafic,Magmatic small to moderate,2.77E+05,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.3,UDS
IT_ETN_20110908,Etna,211060,Etna 2011 09 September 08,Mafic,Magmatic small to moderate,1.47E+05,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.8,UDS
IT_ETN_20110919,Etna,211060,Etna 2011 09 September 19,Mafic,Magmatic small to moderate,2.05E+05,PUB_INS,3.3,1.7,5.0,VIS_PVD_ERR,0.2,UDS
IT_ETN_20110928,Etna,211060,Etna 2011 09 September 28,Mafic,Magmatic small to moderate,1.34E+06,PUB_INS,3.3,,,,0.3,UDS
IT_ETN_20111008,Etna,211060,Etna 2011 10 October 08,Mafic,Magmatic small to moderate,1.91E+05,PUB_INS,3.3,4.2,7.5,VIS_PVD_ERR,0.3,UDS
IT_ETN_20111115,Etna,211060,Etna 2011 11 November 15,Mafic,Magmatic small to moderate,6.90E+05,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.7,UDS
IT_ETN_20120105,Etna,211060,Etna 2012 01 January 05,Mafic,Magmatic small to moderate,1.32E+06,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.7,UDS
IT_ETN_20120209,Etna,211060,Etna 2012 02 February 09,Mafic,Magmatic small to moderate,2.99E+04,PUB_INS,3.3,4.7,8.0,VIS_PVD_ERR,2.8,UDS
IT_ETN_20120318,Etna,211060,Etna 2012 03 March 18,Mafic,Magmatic small to moderate,8.50E+04,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.8,UDS
IT_ETN_20120412,Etna,211060,Etna 2012 04 April 12,Mafic,Magmatic small to moderate,5.84E+05,PUB_INS,3.3,4.3,7.6,VIS_PVD,0.5,UDS
IT_ETN_20120424,Etna,211060,Etna 2012 04 April 24,Mafic,Magmatic small to moderate,7.59E+05,PUB_INS,3.3,,,,0.6,UDS
IT_ETN_20130220,Etna,211060,Etna 2013 02 February 20,Mafic,Magmatic small to moderate,1.23E+05,PUB_INS,3.3,,,,0.2,UDS
IT_ETN_20130221,Etna,211060,Etna 2013 02 February 21,Mafic,Magmatic small to moderate,1.96E+05,PUB_INS,3.3,,,,0.4,UDS
IT_ETN_20130223,Etna,211060,Etna 2013 02 February 23,Mafic,Magmatic small to moderate,2.53E+06,PUB_INS,3.3,,,,0.5,UDS
IT_ETN_20130228,Etna,211060,Etna 2013 02 February 28,Mafic,Magmatic small to moderate,4.83E+05,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.4,UDS
IT_ETN_20130305,Etna,211060,Etna 2013 03 March 05,Mafic,Magmatic small to moderate,9.24E+05,PUB_INS,3.3,,,,0.6,UDS
IT_ETN_20130316,Etna,211060,Etna 2013 03 March 16,Mafic,Magmatic small to moderate,1.74E+06,PUB_INS,3.3,,,,0.2,UDS
IT_ETN_20130418,Etna,211060,Etna 2013 04 April 18,Mafic,Magmatic small to moderate,8.75E+04,PUB_INS,3.3,6,9,VIS_PVD_MIN,0.9,UDS
IT_ETN_20130420,Etna,211060,Etna 2013 04 April 20,Mafic,Magmatic small to moderate,6.56E+05,PUB_INS,3.3,,,,0.7,UDS
IT_ETN_20131111,Etna,211060,Etna 2013 11 November 11,Mafic,Magmatic small to moderate,9.49E+04,PUB_INS,3.3,,,,2.0,UDS
IT_ETN_20131116,Etna,211060,Etna 2013 11 November 16,Mafic,Magmatic small to moderate,1.13E+05,PUB_INS,3.3,,,,1.6,UDS
IT_ETN_20131123,Etna,211060,Etna 2013 11 November 23,Mafic,Magmatic small to moderate,3.26E+06,PUB_INS,3.3,7.8,11,VIS_PVD,0.3,UDS
IT_ETN_20131128,Etna,211060,Etna 2013 11 November 28,Mafic,Magmatic small to moderate,8.04E+05,PUB_INS,3.3,,,,1.4,UDS
IT_ETN_20131202,Etna,211060,Etna 2013 12 December 02,Mafic,Magmatic small to moderate,7.45E+05,PUB_INS,3.3,,,,1.1,UDS
IT_ETN_20141228,Etna,211060,Etna 2014 12 December 28,Mafic,Magmatic small to moderate,2.69E+05,PUB_INS,3.3,,,,1.0,UDS
IT_ETN_20151203,Etna,211060,Etna 2015 12 December 03 V1,Mafic,Magmatic small to moderate,2.70E+05,PUB_INS,3.2,13,16,INS_PVD,0.7,UDS
IT_ETN_20151204_V2,Etna,211060,Etna 2015 12 December 04 V2,Mafic,Magmatic small to moderate,2.19E+05,PUB_INS,3.2,,,,0.4,UDS
IT_ETN_20151204_V3,Etna,211060,Etna 2015 12 December 04 V3,Mafic,Magmatic small to moderate,3.69E+05,PUB_INS,3.2,,,,0.2,UDS
IT_ETN_20151205,Etna,211060,Etna 2015 12 December 05 V4,Mafic,Magmatic small to moderate,1.59E+05,PUB_INS,3.2,,,,0.5,UDS
JP_FUJ_1707_A,Fuji,283030,Fuji Geology 1707 CE Unit A,Intermediate,Magmatic large,1.1E+07,PUB_CMD_ERR,3.8,23,27,CAL_A02_ERR,1.5,VIS
JP_FUJ_1707_B,Fuji,283030,Fuji Geology 1707 CE Unit B,Intermediate,Magmatic large,3.0E+06,PUB_CMD_ERR,3.8,18,22,CAL_A02_ERR,4.0,VIS
JP_FUJ_1707_C,Fuji,283030,Fuji Geology 1707 CE Unit C,Intermediate,Magmatic large,9.1E+06,PUB_CMD_ERR,3.8,22,26,CAL_A02_ERR,8.0,VIS
JP_FUJ_1707_D,Fuji,283030,Fuji Geology 1707 CE Unit D,Intermediate,Magmatic large,5.0E+06,PUB_CMD_ERR,3.8,19,23,CAL_A02_ERR,5.0,VIS
JP_FUJ_1707_EF,Fuji,283030,Fuji Geology 1707 CE Unit E & F,Intermediate,Magmatic large,3.3E+06,PUB_CMD_ERR,3.8,18,22,CAL_A02_ERR,15.5,VIS
JP_FUJ_1707_G,Fuji,283030,Fuji Geology 1707 CE Unit G,Mafic,Magmatic small to moderate,4E+05,PUB_CMD_ERR,3.8,12,16,CAL_A02_ERR,15.5,VIS
JP_FUJ_1707_H,Fuji,283030,Fuji Geology 1707 CE Unit H,Mafic,Magmatic small to moderate,2.3E+06,PUB_CMD_ERR,3.8,17,21,CAL_A02_ERR,17.5,VIS
JP_FUJ_1707_I,Fuji,283030,Fuji Geology 1707 CE Unit I,Mafic,Magmatic small to moderate,1.1E+06,PUB_CMD_ERR,3.8,15,19,CAL_A02_ERR,16.0,VIS
JP_FUJ_1707_J,Fuji,283030,Fuji Geology 1707 CE Unit J,Mafic,Magmatic small to moderate,2.0E+06,PUB_CMD_ERR,3.8,16,20,CAL_A02_ERR,16.5,VIS
JP_FUJ_1707_K,Fuji,283030,Fuji Geology 1707 CE Unit K,Mafic,Magmatic small to moderate,2.0E+06,PUB_CMD_ERR,3.8,16,20,CAL_A02_ERR,8.5,VIS
JP_FUJ_1707_L,Fuji,283030,Fuji Geology 1707 CE Unit L,Mafic,Magmatic small to moderate,5.5E+06,PUB_CMD_ERR,3.8,20,24,CAL_A02_ERR,9.0,VIS
JP_FUJ_1707_M,Fuji,283030,Fuji Geology 1707 CE Unit M,Mafic,Magmatic small to moderate,1.4E+06,PUB_CMD_ERR,3.8,15,19,CAL_A02_ERR,8.0,VIS
JP_FUJ_1707_N,Fuji,283030,Fuji Geology 1707 CE Unit N,Mafic,Magmatic small to moderate,6.2E+06,PUB_CMD_ERR,3.8,20,24,CAL_A02_ERR,4.5,VIS
JP_FUJ_1707_O,Fuji,283030,Fuji Geology 1707 CE Unit O,Mafic,Magmatic small to moderate,1.1E+06,PUB_CMD_ERR,3.8,15,19,CAL_A02_ERR,33.5,VIS
JP_FUJ_1707_P,Fuji,283030,Fuji Geology 1707 CE Unit P,Mafic,Magmatic small to moderate,2.7E+06,PUB_CMD_ERR,3.8,17,21,CAL_A02_ERR,11.5,VIS
JP_FUJ_1707_Q,Fuji,283030,Fuji Geology 1707 CE Unit Q,Mafic,Magmatic small to moderate,9E+05,PUB_CMD_ERR,3.8,14,18,CAL_A02_ERR,57.0,VIS
JP_IZO_19861121,Izu-Oshima,284010,Izu-Oshima 1986 11 November 21 Fissure B,Mafic,Magmatic small to moderate,8.40E+05,PUB_CAL,0.8,10,11,VIS_A06_MID,3.0,INS
JP_MIY_20000708,Miyakejima,284040,Miyakejima 2000 07 July 08,Mafic,Steam-driven,2.1E+06,THS_VDD,0.8,1.5,2.3,UDS_PVD,0.3,UDS
JP_MIY_20000818,Miyakejima,284040,Miyakejima 2000 08 August 18,Mafic,Magmatic small to moderate,1.5E+04,THS_VDD,0.8,15,16,SAT_PVD,3.4,UDS
JP_MIY_20000829,Miyakejima,284040,Miyakejima 2000 08 August 29,Mafic,Steam-driven,1.2E+06,THS_VDD_MAX,0.8,7,8,SAT_PVD,1.4,UDS_MIN
MX_ECH_19820329_A1,El Chichon,341120,El Chichon 1982 03 March 29 A-1,Intermediate,Magmatic large,1.1E+08,PUB_CAL,1.3,17,18,CAL_A02_APX,5.5,UDS_MID
MX_ECH_19820404_B,El Chichon,341120,El Chichon 1982 04 April 04 B,Intermediate,Magmatic large,1.9E+08,PUB_CAL,1.3,32,33,CAL_A02_APX,4.0,UDS
MX_ECH_19820404_C,El Chichon,341120,El Chichon 1982 04 April 04 C,Intermediate,Magmatic large,1.3E+08,PUB_CAL,1.3,29,30,CAL_A02_APX,7.0,UDS
NI_CNG_1867,Cerro Negro,344070,Cerro Negro 1867,Mafic,Magmatic small to moderate,3.08E+04,THS_VDD,0.7,3.3,4.0,CAL_A02,67.2,VIS_DAY
NI_CNG_1923,Cerro Negro,344070,Cerro Negro 1923,Mafic,Magmatic small to moderate,3.96E+03,THS_VDD,0.7,2.0,2.7,CAL_A02,"1,176.0",VIS_DAY
NI_CNG_1947,Cerro Negro,344070,Cerro Negro 1947,Mafic,Magmatic small to moderate,3.54E+05,THS_VDD,0.7,6,7,CAL_A02,19.2,VIS_DAY
NI_CNG_1950,Cerro Negro,344070,Cerro Negro 1950,Mafic,Magmatic small to moderate,1.32E+03,THS_VDD,0.7,1.5,2.2,CAL_A02,624.0,VIS_DAY
NI_CNG_1957,Cerro Negro,344070,Cerro Negro 1957,Mafic,Magmatic small to moderate,2.20E+03,THS_VDD,0.7,1.7,2.4,CAL_A02,360.0,VIS
NI_CNG_1968,Cerro Negro,344070,Cerro Negro 1968,Mafic,Magmatic small to moderate,2.64E+03,THS_VDD,0.7,1.8,2.5,CAL_A02,"1,008.0",UDS_DAY
NI_CNG_1971,Cerro Negro,344070,Cerro Negro 1971,Mafic,Magmatic small to moderate,5.06E+04,THS_VDD,0.7,3.8,4.5,CAL_A02,168.0,UDS_DAY
NI_CNG_19920409,Cerro Negro,344070,Cerro Negro 1992 04 April 9,Mafic,Magmatic small to moderate,3.78E+05,THS_VDD,0.7,6,7,CAL_A02,16.8,UDS_DAY
NI_CNG_19950529,Cerro Negro,344070,Cerro Negro 1995 05 May 29,Mafic,Steam-driven,,,0.7,0.3,1.0,UDS_PVD_MAX,,
NI_CNG_19951202,Cerro Negro,344070,Cerro Negro 1995 12 December 02-06,Mafic,Magmatic small to moderate,8.58E+03,THS_VDD,0.7,2.4,3.1,CAL_A02,96.0,UDS_DAY
NZ_NGA_197403,Ngauruhoe,241080,Ngauruhoe 1974 03 March 27-29,Mafic,Magmatic small to moderate,1.75E+05,THS_VDA,2.3,3,5.3,VIS_PVD_MAX,2.0,UDS
NZ_NGA_19750219,Ngauruhoe,241080,Ngauruhoe 1975 02 February 19,Mafic,Magmatic small to moderate,7E+05,THS_VDA,2.3,7,9,VIS_PVD_MIN,2.0,UDS
NZ_OKA_18860610,Okataina,241050,Tarawera 1886 06 June 10 Phase II,Mafic,Magmatic large,1E+08,PUB_VDD_EMN,1.1,28,29,CAL_A02,5.5,UDS_MAX
NZ_OKA_Kaharoa_A,Okataina,241050,Okataina Geology AD 1314 Kaharoa A lapilli,Silicic,Magmatic small to moderate,2E+07,PUB_VDD,1.1,,,,3.1,CAL
NZ_OKA_Kaharoa_B,Okataina,241050,Okataina Geology AD 1314 Kaharoa B lapilli,Silicic,Magmatic small to moderate,2E+08,PUB_VDD,1.1,,,,3.0,CAL
NZ_OKA_Kaharoa_D,Okataina,241050,Okataina Geology AD 1314 Kaharoa D lapilli,Silicic,Magmatic small to moderate,1E+08,PUB_VDD,1.1,,,,3.7,CAL
NZ_OKA_Kaharoa_E,Okataina,241050,Okataina Geology AD 1314 Kaharoa E lapilli,Silicic,Magmatic small to moderate,2E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_F,Okataina,241050,Okataina Geology AD 1314 Kaharoa F lapilli,Silicic,Magmatic large,5E+08,PUB_VDD,1.1,26,27,CAL_PVD,3.0,CAL
NZ_OKA_Kaharoa_G,Okataina,241050,Okataina Geology AD 1314 Kaharoa G lapilli,Silicic,Magmatic small to moderate,1E+08,PUB_VDD,1.1,,,,2.5,CAL
NZ_OKA_Kaharoa_HNW,Okataina,241050,Okataina Geology AD 1314 Kaharoa HNW lapilli,Silicic,Magmatic small to moderate,2E+07,PUB_VDD,1.1,,,,2.5,CAL
