ID,Volcano,GVP Volcano Number,Eruption_name,Magma_type,Eruption_type,MER_kg/s,MER_note,Vent_elevation_km,Column_height_km,Column_top_altitude_km,Column_height_note,Duration_hr,Duration_note
NZ_RUA_U-Pk,Ruapehu,241100,Ruapehu Geology Upper Pahoka Tephra,Intermediate,Magmatic large,2.1E+08,PUB_CAL_MID,2.8,26,29,CAL_A02_MID,2.0,CAL_MID
NZ_TAR_Burrell,Taranaki,241030,Taranaki Geology Burrell 1655 AD,Intermediate,Magmatic small to moderate,1.3E+07,PUB_CAL,2.5,14,17,CAL_A02,2.9,CAL
NZ_TAR_Kaupokonui,Taranaki,241030,Taranaki Geology Kaupokonui,Mafic,Magmatic small to moderate,1.2E+07,PUB_CAL,2.5,14,17,CAL_A02,4.0,UDS
NZ_TAR_Kw4,Taranaki,241030,Taranaki Geology Kokowai layer Kw4,Intermediate,Magmatic large,1.8E+08,PUB_CAL,2.5,28,30,CAL_A02,1.4,UDS_MID
NZ_TAR_Kw7,Taranaki,241030,Taranaki Geology Kokowai layer Kw7,Mafic,Magmatic small to moderate,5.8E+07,PUB_CAL,2.5,21,23,CAL_A02,0.7,UDS
NZ_TAR_MD1-MD3,Taranaki,241030,"Taranaki Geology Mangunui-D, layers MD1-MD3",Mafic,Magmatic large,1.1E+08,PUB_CAL,2.5,24,27,CAL_A02,2.2,UDS
NZ_TAR_Uig7,Taranaki,241030,Taranaki Geology Upper Inglewood layer Uig7,Intermediate,Magmatic large,7.6E+07,PUB_CAL,2.5,22,25,CAL_A02,1.7,UDS
NZ_TAU_1.8ka_1,Taupo,241070,Taupo Geology 1.8ka Unit 1,Silicic,Steam-driven,1E+05,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_2,Taupo,241070,Taupo Geology 1.8ka Unit 2,Silicic,Magmatic large,1E+07,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_3,Taupo,241070,Taupo Geology 1.8ka Unit 3,Silicic,Magmatic large,1E+06,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_4,Taupo,241070,Taupo Geology 1.8ka Unit 4,Silicic,Magmatic large,1E+06,PUB_UDS,2.5,,,,,
NZ_TAU_1.8ka_5,Taupo,241070,Taupo Geology 1.8ka Unit 5,Silicic,Magmatic large,1E+08,PUB_UDS,2.5,34,36,CAL_A02_MID,,
